from,to,arrows
cpd:C02218_c,SDS,to
SDS,cpd:C00022_c,to
cpd:C03508_m,AOBUTDsm,to
AOBUTDsm,cpd:C01888_m,to
cpd:C00576_m,BETALDHxm,to
BETALDHxm,cpd:C00719_m,to
cpd:C00155_c,BHMT2,to
cpd:C00719_c,BHMT2,to
BHMT2,cpd:C01026_c,to
BHMT2,cpd:C00073_c,to
cpd:C00114_m,CHDH,to
CHDH,cpd:C00576_m,to
cpd:C01026_m,DMGDH,to
DMGDH,cpd:C00213_m,to
cpd:C00065_c,SHMT1,to
SHMT1,cpd:C00037_c,to
SHMT1,cpd:C00143_c,to
SHMT1_reverse,cpd:C00065_c,to
cpd:C00037_c,SHMT1_reverse,to
cpd:C00143_c,SHMT1_reverse,to
cpd:C00065_c,SHMT1>6,to
SHMT1>6,cpd:C00037_c,to
SHMT1>6,cpd:C00143_c,to
SHMT1>6_reverse,cpd:C00065_c,to
cpd:C00037_c,SHMT1>6_reverse,to
cpd:C00143_c,SHMT1>6_reverse,to
cpd:C00065_m,SHMT2,to
SHMT2,cpd:C00037_m,to
SHMT2,cpd:C00143_m,to
cpd:C00065_m,SHMT1>7,to
SHMT1>7,cpd:C00037_m,to
SHMT1>7,cpd:C00143_m,to
cpd:C00024_m,GCAT,to
cpd:C00037_m,GCAT,to
GCAT,cpd:C03508_m,to
cpd:C00037_x,GLYOp,to
GLYOp,cpd:C00048_x,to
cpd:C00019_c,GNMT,to
cpd:C00037_c,GNMT,to
GNMT,cpd:C00021_c,to
GNMT,cpd:C00213_c,to
cpd:C00109_c,OBDHc,to
OBDHc,cpd:C00100_c,to
cpd:C00197_c,PHGDH,to
PHGDH,cpd:C03232_c,to
cpd:C03232_c,PSAT1,to
PSAT1,cpd:C01005_c,to
cpd:C03232_c,PSAT1>8,to
PSAT1>8,cpd:C01005_c,to
cpd:C01005_c,8781,to
8781,cpd:C00065_c,to
cpd:C01005_c,PSPH,to
PSPH,cpd:C00065_c,to
cpd:C00065_c,SDS>9,to
