from,to,arrows
cpd:C02218_c,SDS,to
SDS,cpd:C00022_c,to
cpd:C00037_m,GCAT,to
cpd:C00091_m,GCAT,to
GCAT,cpd:C00430_m,to
cpd:C00037_m,ALAS1,to
cpd:C00091_m,ALAS1,to
ALAS1,cpd:C00430_m,to
cpd:C00037_m,ALAS1>1,to
cpd:C00091_m,ALAS1>1,to
ALAS1>1,cpd:C00430_m,to
cpd:C03508_m,AOBUTDsm,to
AOBUTDsm,cpd:C01888_m,to
cpd:C00576_m,BETALDHxm,to
BETALDHxm,cpd:C00719_m,to
cpd:C00155_c,BHMT2,to
cpd:C00719_c,BHMT2,to
BHMT2,cpd:C01026_c,to
BHMT2,cpd:C00073_c,to
cpd:C00114_m,CHDH,to
CHDH,cpd:C00576_m,to
cpd:C01026_m,DMGDH,to
DMGDH,cpd:C00213_m,to
cpd:C00065_m,SHMT2,to
SHMT2,cpd:C00037_m,to
SHMT2,cpd:C00143_m,to
cpd:C00065_m,SHMT1,to
SHMT1,cpd:C00037_m,to
SHMT1,cpd:C00143_m,to
cpd:C00024_m,GCAT>7,to
cpd:C00037_m,GCAT>7,to
GCAT>7,cpd:C03508_m,to
cpd:C00037_x,GLYOp,to
GLYOp,cpd:C00048_x,to
cpd:C00019_c,GNMT,to
cpd:C00037_c,GNMT,to
GNMT,cpd:C00021_c,to
GNMT,cpd:C00213_c,to
cpd:C00197_c,PHGDH,to
PHGDH,cpd:C03232_c,to
cpd:C00065_c,SDS>8,to
SDS>8,cpd:C02218_c,to
cpd:C00576_c,ALDH7A1,to
ALDH7A1,cpd:C00719_c,to
ALDH7A1_reverse,cpd:C00576_c,to
cpd:C00719_c,ALDH7A1_reverse,to
cpd:C00576_c,ALDH7A1>9,to
ALDH7A1>9,cpd:C00719_c,to
ALDH7A1>9_reverse,cpd:C00576_c,to
cpd:C00719_c,ALDH7A1>9_reverse,to
cpd:C00024_m,GLYACm,to
cpd:C00037_m,GLYACm,to
GLYACm,acgly_m,to
