from,to,arrows
cpd:C00024_m,THRACm,to
cpd:C00188_m,THRACm,to
THRACm,acthr__L_m,to
cpd:C00037_c,SHMT1>13,to
cpd:C00143_c,SHMT1>13,to
SHMT1>13,cpd:C00065_c,to
cpd:C00037_c,SHMT1>14,to
cpd:C00143_c,SHMT1>14,to
SHMT1>14,cpd:C00065_c,to
cpd:C03232_c,PSAT1,to
PSAT1,cpd:C01005_c,to
cpd:C03232_c,PSAT1>15,to
PSAT1>15,cpd:C01005_c,to
cpd:C01005_c,8781,to
8781,cpd:C00065_c,to
cpd:C01005_c,PSPH,to
PSPH,cpd:C00065_c,to
cpd:C00188_c,SDS>16,to
SDS>16,cpd:C00109_c,to
cpd:C00188_c,SDSL,to
SDSL,cpd:C00109_c,to
cpd:C00109_c,OBDHc,to
OBDHc,cpd:C00100_c,to
cpd:C00188_c,HMR_4284,to
HMR_4284,cpd:C00037_c,to
cpd:C00114_c,CHDH>19,to
CHDH>19,cpd:C00576_c,to
cpd:C00213_c,PDPR,to
PDPR,cpd:C01026_c,to
PDPR_reverse,cpd:C00213_c,to
cpd:C01026_c,PDPR_reverse,to
cpd:C00213_c,DMGDH>20,to
DMGDH>20,cpd:C01026_c,to
DMGDH>20_reverse,cpd:C00213_c,to
cpd:C01026_c,DMGDH>20_reverse,to
cpd:C00956_c,transporter>1,to
transporter>1,cpd:C00956_m,to
transporter>1,cpd:C00956_c,to
cpd:C00956_m,transporter>1,to
cpd:C00322_m,OGDH_DLD_PDHX_DLST,to
OGDH_DLD_PDHX_DLST,cpd:C00527_m,to
cpd:C00322_m,OGDH_DLD_PDH_DLST>21,to
OGDH_DLD_PDH_DLST>21,cpd:C00527_m,to
cpd:C04076_m,AASAD3m,to
AASAD3m,cpd:C00956_m,to
cpd:C00322_c,AADAT,to
AADAT,cpd:C00956_c,to
cpd:C00322_c,AADAT>22,to
AADAT>22,cpd:C00956_c,to
cpd:C00047_m,AASS,to
AASS,cpd:C00449_m,to
cpd:C00449_m,AASS>23,to
AASS>23,cpd:C04076_m,to
cpd:C00956_m,AADAT>24,to
AADAT>24,cpd:C00322_m,to
cpd:C04076_m,AASS>25,to
AASS>25,cpd:C00449_m,to
cpd:C04076_c,ALDH7A1>26,to
ALDH7A1>26,cpd:C00956_c,to
cpd:C00672_c,2DR1PP,to
2DR1PP,cpd:C01801_c,to
3aib__D_m,ABAT,to
ABAT,cpd:C00349_m,to
ABAT_reverse,3aib__D_m,to
cpd:C00349_m,ABAT_reverse,to
cpd:C00288_e,transporter>9,to
transporter>9,cpd:C00288_c,to
transporter>9,cpd:C00288_e,to
cpd:C00288_c,transporter>9,to
34dhphe_c,transporter>13,to
transporter>13,34dhphe_e,to
transporter>13,34dhphe_c,to
34dhphe_e,transporter>13,to
cpd:C00440_e,transporter>17,to
transporter>17,cpd:C00440_c,to
transporter>17,cpd:C00440_e,to
cpd:C00440_c,transporter>17,to
cpd:C00334_e,transporter>21,to
transporter>21,cpd:C00334_c,to
transporter>21,cpd:C00334_e,to
cpd:C00334_c,transporter>21,to
cpd:C00033_e,transporter>29,to
transporter>29,cpd:C00033_c,to
transporter>29,cpd:C00033_e,to
cpd:C00033_c,transporter>29,to
cpd:C00212_e,transporter>33,to
transporter>33,cpd:C00212_c,to
transporter>33,cpd:C00212_e,to
cpd:C00212_c,transporter>33,to
cpd:C00041_e,transporter>39,to
cpd:C00152_c,transporter>40,to
transporter>39,cpd:C00041_c,to
transporter>40,cpd:C00152_e,to
transporter>39,cpd:C00041_e,to
transporter>40,cpd:C00152_c,to
cpd:C00041_c,transporter>39,to
cpd:C00152_e,transporter>40,to
cpd:C00097_c,transporter>47,to
transporter>47,cpd:C00097_e,to
transporter>47,cpd:C00097_c,to
cpd:C00097_e,transporter>47,to
cpd:C00065_c,transporter>55,to
transporter>55,cpd:C00065_e,to
transporter>55,cpd:C00065_c,to
cpd:C00065_e,transporter>55,to
cpd:C00188_c,transporter>59,to
transporter>59,cpd:C00188_e,to
transporter>59,cpd:C00188_c,to
cpd:C00188_e,transporter>59,to
cpd:C00047_c,transporter>63,to
cpd:C00062_e,transporter>64,to
transporter>63,cpd:C00047_e,to
transporter>64,cpd:C00062_c,to
transporter>63,cpd:C00047_c,to
transporter>64,cpd:C00062_e,to
cpd:C00047_e,transporter>63,to
cpd:C00062_c,transporter>64,to
cpd:C00114_e,transporter>71,to
transporter>71,cpd:C00114_c,to
transporter>71,cpd:C00114_e,to
cpd:C00114_c,transporter>71,to
cpd:C00209_c,transporter>75,to
transporter>75,cpd:C00209_e,to
transporter>75,cpd:C00209_c,to
cpd:C00209_e,transporter>75,to
cpd:C00791_e,transporter>79,to
transporter>79,cpd:C00791_c,to
transporter>79,cpd:C00791_e,to
cpd:C00791_c,transporter>79,to
cpd:C00037_e,transporter>83,to
transporter>83,cpd:C00037_c,to
transporter>83,cpd:C00037_e,to
cpd:C00037_c,transporter>83,to
3aib__D_c,transporter>87,to
transporter>87,3aib__D_e,to
cpd:C03758_e,transporter>89,to
transporter>89,cpd:C03758_c,to
transporter>89,cpd:C03758_e,to
cpd:C03758_c,transporter>89,to
cpd:C00031_r,transporter>93,to
transporter>93,cpd:C00031_e,to
cpd:C00031_e,transporter>93,to
transporter>93,cpd:C00031_c,to
cpd:C00031_c,transporter>93,to
cpd:C00719_e,transporter>98,to
transporter>98,cpd:C00719_c,to
transporter>98,cpd:C00719_e,to
cpd:C00719_c,transporter>98,to
cpd:C00135_e,transporter>102,to
transporter>102,cpd:C00135_c,to
transporter>102,cpd:C00135_e,to
cpd:C00135_c,transporter>102,to
cpd:C00388_e,transporter>106,to
transporter>106,cpd:C00388_c,to
transporter>106,cpd:C00388_e,to
cpd:C00388_c,transporter>106,to
cpd:C00407_e,transporter>114,to
transporter>114,cpd:C00407_c,to
transporter>114,cpd:C00407_e,to
cpd:C00407_c,transporter>114,to
cpd:C00123_e,transporter>118,to
transporter>118,cpd:C00123_c,to
transporter>118,cpd:C00123_e,to
cpd:C00123_c,transporter>118,to
cpd:C00073_e,transporter>122,to
transporter>122,cpd:C00073_c,to
transporter>122,cpd:C00073_e,to
cpd:C00073_c,transporter>122,to
cpd:C00546_c,transporter>126,to
transporter>126,cpd:C00546_e,to
cpd:C00077_e,transporter>132,to
transporter>132,cpd:C00077_c,to
transporter>132,cpd:C00077_e,to
cpd:C00077_c,transporter>132,to
cpd:C00079_e,transporter>136,to
transporter>136,cpd:C00079_c,to
transporter>136,cpd:C00079_e,to
cpd:C00079_c,transporter>136,to
cpd:C00148_e,transporter>140,to
transporter>140,cpd:C00148_c,to
transporter>140,cpd:C00148_e,to
cpd:C00148_c,transporter>140,to
ps_hs_e,transporter>144,to
transporter>144,ps_hs_c,to
cpd:C00078_e,transporter>150,to
transporter>150,cpd:C00078_c,to
transporter>150,cpd:C00078_e,to
cpd:C00078_c,transporter>150,to
cpd:C00082_e,transporter>154,to
transporter>154,cpd:C00082_c,to
transporter>154,cpd:C00082_e,to
cpd:C00082_c,transporter>154,to
cpd:C00183_e,transporter>158,to
transporter>158,cpd:C00183_c,to
transporter>158,cpd:C00183_e,to
cpd:C00183_c,transporter>158,to
cpd:C00327_c,transporter>162,to
transporter>162,cpd:C00327_e,to
transporter>162,cpd:C00327_c,to
cpd:C00327_e,transporter>162,to
cpd:C00315_c,transporter>174,to
transporter>174,cpd:C00315_e,to
cpd:C02470_c,transporter>176,to
transporter>176,cpd:C02470_e,to
cpd:C00158_e,transporter>180,to
transporter>180,cpd:C00158_c,to
transporter>180,cpd:C00158_e,to
cpd:C00158_c,transporter>180,to
cpd:C00049_e,transporter>184,to
transporter>184,cpd:C00049_c,to
transporter>184,cpd:C00049_e,to
cpd:C00049_c,transporter>184,to
cpd:C00022_e,transporter>193,to
transporter>193,cpd:C00022_c,to
transporter>193,cpd:C00022_e,to
cpd:C00022_c,transporter>193,to
cpd:C00186_e,transporter>200,to
transporter>200,cpd:C00186_c,to
transporter>200,cpd:C00186_e,to
cpd:C00186_c,transporter>200,to
cpd:C01157_c,transporter>204,to
transporter>204,cpd:C01157_e,to
transporter>204,cpd:C01157_c,to
cpd:C01157_e,transporter>204,to
cpd:C00134_e,transporter>208,to
transporter>208,cpd:C00134_c,to
transporter>208,cpd:C00134_e,to
cpd:C00134_c,transporter>208,to
cpd:C00750_e,transporter>212,to
transporter>212,cpd:C00750_c,to
transporter>212,cpd:C00750_e,to
cpd:C00750_c,transporter>212,to
cpd:C01179_c,transporter>216,to
transporter>216,cpd:C01179_e,to
cpd:C00141_c,transporter>218,to
transporter>218,cpd:C00141_e,to
cpd:C00671_c,transporter>220,to
transporter>220,cpd:C00671_e,to
cpd:C01157_m,transporter>204,to
cpd:C00233_c,transporter>223,to
transporter>223,cpd:C00233_e,to
cpd:C00170_c,transporter>225,to
transporter>225,cpd:C00170_e,to
cpd:C00021_c,transporter>227,to
transporter>227,cpd:C00021_e,to
gudac_e,transporter>229,to
transporter>229,gudac_c,to
gudac_c,transporter>229,to
transporter>229,gudac_e,to
cpd:C00328_e,transporter>233,to
transporter>233,cpd:C00328_c,to
transporter>233,cpd:C00328_e,to
cpd:C00328_c,transporter>233,to
crtn_c,transporter>237,to
transporter>237,crtn_e,to
kynate_e,transporter>239,to
transporter>239,kynate_c,to
transporter>239,kynate_e,to
kynate_c,transporter>239,to
cpd:C00632_c,transporter>243,to
transporter>243,cpd:C00632_e,to
cpd:C03227_c,transporter>245,to
transporter>245,cpd:C03227_e,to
transporter>245,cpd:C03227_c,to
cpd:C03227_e,transporter>245,to
cpd:C01026_c,transporter>249,to
transporter>249,cpd:C01026_e,to
cpd:C00122_c,transporter>251,to
transporter>251,cpd:C00122_e,to
cpd:C00311_c,transporter>253,to
transporter>253,cpd:C00311_e,to
transporter>1,cpd:C00956_e,to
ps_hs_c,transporter>144,to
transporter>144,ps_hs_e,to
cpd:C00322_c,transporter>260,to
transporter>260,cpd:C00322_e,to
cpd:C01188_c,transporter>262,to
transporter>262,cpd:C01188_e,to
3mhis_c,transporter>264,to
transporter>264,3mhis_e,to
transporter>264,3mhis_c,to
3mhis_e,transporter>264,to
cpd:C05587_e,transporter>268,to
transporter>268,cpd:C05587_c,to
cpd:C00430_c,transporter>270,to
transporter>270,cpd:C00430_e,to
cpd:C00624_c,transporter>272,to
transporter>272,cpd:C00624_e,to
acgly_c,transporter>274,to
transporter>274,acgly_e,to
acthr__L_c,transporter>276,to
transporter>276,acthr__L_e,to
cpd:C00019_c,transporter>278,to
transporter>278,cpd:C00019_e,to
cpd:C02356_c,transporter>280,to
transporter>280,cpd:C02356_e,to
CE2176_c,transporter>284,to
transporter>284,CE2176_e,to
cpd:C00160_c,transporter>288,to
transporter>288,cpd:C00160_e,to
cpd:C00506_c,transporter>292,to
transporter>292,cpd:C00506_e,to
cpd:C00036_c,transporter>294,to
transporter>294,cpd:C00036_e,to
cpd:C00449_c,transporter>296,to
transporter>296,cpd:C00449_e,to
cpd:C05587_c,transporter>268,to
transporter>268,cpd:C05587_e,to
cpd:C00155_c,transporter>302,to
transporter>302,cpd:C00155_e,to
cpd:C00166_c,transporter>304,to
transporter>304,cpd:C00166_e,to
transporter>304,cpd:C00166_c,to
cpd:C00166_e,transporter>304,to
cpd:C00048_c,transporter>308,to
transporter>308,cpd:C00048_e,to
4ohbut_c,transporter>314,to
transporter>314,4ohbut_e,to
cpd:C01205_e,transporter>316,to
transporter>316,cpd:C01205_c,to
transporter>316,cpd:C01205_e,to
cpd:C01205_c,transporter>316,to
cpd:C01029_c,transporter>320,to
transporter>320,cpd:C01029_e,to
transporter>320,cpd:C01029_c,to
cpd:C01029_e,transporter>320,to
cpd:C05127_c,transporter>324,to
transporter>324,cpd:C05127_e,to
transporter>324,cpd:C05127_c,to
cpd:C05127_e,transporter>324,to
cpd:C00109_c,transporter>328,to
transporter>328,cpd:C00109_e,to
transporter>328,cpd:C00109_c,to
cpd:C00109_e,transporter>328,to
CE4890_c,transporter>332,to
transporter>332,CE4890_e,to
transporter>332,CE4890_c,to
CE4890_e,transporter>332,to
13dampp_c,transporter>336,to
transporter>336,13dampp_e,to
transporter>336,13dampp_c,to
13dampp_e,transporter>336,to
cpd:C00612_c,transporter>340,to
transporter>340,cpd:C00612_e,to
transporter>340,cpd:C00612_c,to
cpd:C00612_e,transporter>340,to
cpd:C00232_c,transporter>346,to
transporter>346,cpd:C00232_e,to
cpd:C01137_c,transporter>348,to
transporter>348,cpd:C01137_e,to
cpd:C01888_c,transporter>350,to
transporter>350,cpd:C01888_e,to
cpd:C00094_c,transporter>352,to
transporter>352,cpd:C00094_e,to
cpd:C00555_c,transporter>358,to
transporter>358,cpd:C00555_e,to
cpd:C00322_m,transporter>260,to
transporter>260,cpd:C00322_c,to
transporter>260,cpd:C00322_m,to
cpd:C03227_c,AADAT>890,to
AADAT>890,42A3HP24DB_c,to
cpd:C03227_c,AL441992.2,to
AL441992.2,42A3HP24DB_c,to
cpd:C03227_c,AADAT>891,to
AADAT>891,42A3HP24DB_c,to
cpd:C02220_c,AMCOXO,to
AMCOXO,cpd:C00322_c,to
cpd:C00877_m,AUH,to
AUH,cpd:C01144_m,to
cpd:C00877_m,HADHA_HADHB,to
HADHA_HADHB,cpd:C01144_m,to
cpd:C00877_m,ECHS1,to
ECHS1,cpd:C01144_m,to
cpd:C02700_c,AFMID,to
AFMID,cpd:C00328_c,to
cpd:C00527_m,GCDH,to
GCDH,cpd:C00877_m,to
cpd:C00527_m,GCDH>892,to
GCDH>892,cpd:C00877_m,to
cpd:C01144_m,HSD17B10,to
HSD17B10,cpd:C00332_m,to
cpd:C01144_m,HADH,to
HADH,cpd:C00332_m,to
cpd:C01144_m,HADH_HADHB>893,to
HADH_HADHB>893,cpd:C00332_m,to
cpd:C03227_c,KYNU,to
KYNU,cpd:C00632_c,to
KYNU,cpd:C00041_c,to
cpd:C00328_c,KMO,to
KMO,cpd:C03227_c,to
cpd:C00328_c,AADAT>894,to
AADAT>894,4aphdob_c,to
cpd:C00328_c,AL441992.2>895,to
AL441992.2>895,4aphdob_c,to
cpd:C00328_c,AADAT>896,to
AADAT>896,4aphdob_c,to
4aphdob_c,KYNATESYN,to
KYNATESYN,kynate_c,to
cpd:C00078_c,TDO2,to
TDO2,cpd:C02700_c,to
cpd:C00527_m,GCDH>897,to
GCDH>897,cpd:C00877_m,to
GCDH>897,q10h2_m,to
cpd:C03824_c,r0645,to
r0645,cpd:C02220_c,to
42A3HP24DB_c,r0647,to
r0647,cpd:C02470_c,to
kynate_c,AL441992.2>898,to
AL441992.2>898,cpd:C00328_c,to
cpd:C02470_c,AL441992.2>899,to
AL441992.2>899,cpd:C03227_c,to
cpd:C00019_c,COMT,to
cpd:C03758_c,COMT,to
COMT,cpd:C00021_c,to
COMT,cpd:C05587_c,to
cpd:C00019_c,COMT>900,to
cpd:C03758_c,COMT>900,to
COMT>900,cpd:C00021_c,to
COMT>900,cpd:C05587_c,to
cpd:C01061_c,FAH,to
FAH,cpd:C00164_c,to
FAH,cpd:C00122_c,to
cpd:C00544_c,HGD,to
HGD,cpd:C01036_c,to
cpd:C01036_c,GSTZ1,to
GSTZ1,cpd:C01061_c,to
cpd:C01036_c,GSTZ1>902,to
GSTZ1>902,cpd:C01061_c,to
cpd:C01036_c,GSTZ1>903,to
GSTZ1>903,cpd:C01061_c,to
cpd:C03758_c,RE1918C,to
RE1918C,cpd:C09642_c,to
cpd:C00019_c,RE1923C,to
cpd:C09642_c,RE1923C,to
RE1923C,cpd:C00021_c,to
RE1923C,CE4890_c,to
cpd:C05587_c,RE1925C,to
RE1925C,CE4890_c,to
RE1925C_reverse,cpd:C05587_c,to
CE4890_c,RE1925C_reverse,to
cpd:C00019_c,RE2122C,to
34dhphe_c,RE2122C,to
RE2122C,cpd:C00021_c,to
RE2122C,CE2176_c,to
cpd:C01179_c,GOT1,to
GOT1,cpd:C00082_c,to
cpd:C00349_m,ABAT>904,to
ABAT>904,cpd:C01205_m,to
cpd:C00349_m,ABAT>905,to
ABAT>905,cpd:C01205_m,to
cpd:C06000_m,3HBCOAHLm,to
3HBCOAHLm,cpd:C01188_m,to
cpd:C03344_m,ACAT1,to
ACAT1,cpd:C00024_m,to
ACAT1,cpd:C00100_m,to
ACAT1_reverse,cpd:C03344_m,to
cpd:C00024_m,ACAT1_reverse,to
cpd:C00100_m,ACAT1_reverse,to
cpd:C03344_m,HADHB,to
HADHB,cpd:C00024_m,to
HADHB,cpd:C00100_m,to
HADHB_reverse,cpd:C03344_m,to
cpd:C00024_m,HADHB_reverse,to
cpd:C00100_m,HADHB_reverse,to
cpd:C03344_m,ACAA2,to
ACAA2,cpd:C00024_m,to
ACAA2,cpd:C00100_m,to
ACAA2_reverse,cpd:C03344_m,to
cpd:C00024_m,ACAA2_reverse,to
cpd:C00100_m,ACAA2_reverse,to
cpd:C01033_m,ACADSB,to
ACADSB,cpd:C03345_m,to
cpd:C01033_m,ACADM,to
ACADM,cpd:C03345_m,to
cpd:C02939_m,IVD,to
IVD,cpd:C03069_m,to
cpd:C00630_m,ACADM>906,to
ACADM>906,cpd:C03460_m,to
cpd:C00630_m,ACAD8,to
ACAD8,cpd:C03460_m,to
cpd:C03460_m,ECHS1>907,to
ECHS1>907,cpd:C06000_m,to
cpd:C03460_m,HADH_HADHB>908,to
HADH_HADHB>908,cpd:C06000_m,to
cpd:C03345_m,ECHS1>909,to
ECHS1>909,cpd:C04405_m,to
ECHS1>909_reverse,cpd:C03345_m,to
cpd:C04405_m,ECHS1>909_reverse,to
cpd:C03345_m,HADH_HADHB>910,to
HADH_HADHB>910,cpd:C04405_m,to
HADH_HADHB>910_reverse,cpd:C03345_m,to
cpd:C04405_m,HADH_HADHB>910_reverse,to
cpd:C04405_m,HSD17B10>911,to
HSD17B10>911,cpd:C03344_m,to
HSD17B10>911_reverse,cpd:C04405_m,to
cpd:C03344_m,HSD17B10>911_reverse,to
cpd:C04405_m,EHHADH,to
EHHADH,cpd:C03344_m,to
EHHADH_reverse,cpd:C04405_m,to
cpd:C03344_m,EHHADH_reverse,to
cpd:C04405_m,HADH>912,to
HADH>912,cpd:C03344_m,to
HADH>912_reverse,cpd:C04405_m,to
cpd:C03344_m,HADH>912_reverse,to
cpd:C01188_m,HIBADH,to
HIBADH,cpd:C00349_m,to
cpd:C00671_m,BCAT2,to
BCAT2,cpd:C00407_m,to
cpd:C00233_m,BCAT2>913,to
BCAT2>913,cpd:C00123_m,to
cpd:C01213_m,MMUT,to
MMUT,cpd:C00091_m,to
cpd:C00349_m,ALDH6A1,to
ALDH6A1,cpd:C00100_m,to
cpd:C00349_m,MMTSADm,to
MMTSADm,cpd:C01213_m,to
cpd:C00141_m,DBT_BCKDHB_BCKDH_DLD>914,to
DBT_BCKDHB_BCKDH_DLD>914,cpd:C00630_m,to
cpd:C00141_m,DBT_DLD_BCKDH_BCKDHA>915,to
DBT_DLD_BCKDH_BCKDHA>915,cpd:C00630_m,to
cpd:C00671_m,DBT_BCKDHB_BCKDH_DLD>916,to
DBT_BCKDHB_BCKDH_DLD>916,cpd:C01033_m,to
cpd:C00671_m,DBT_DLD_BCKDH_BCKDHA>917,to
DBT_DLD_BCKDH_BCKDHA>917,cpd:C01033_m,to
cpd:C00141_m,BCAT2>918,to
BCAT2>918,cpd:C00183_m,to
cpd:C01033_m,34_36,to
34_36,cpd:C03345_m,to
34_36,q10h2_m,to
cpd:C01033_m,36_35,to
36_35,cpd:C03345_m,to
36_35,q10h2_m,to
cpd:C02939_m,ACADM>919,to
ACADM>919,cpd:C03069_m,to
ACADM>919,q10h2_m,to
cpd:C02939_m,IVD>920,to
IVD>920,cpd:C03069_m,to
IVD>920,q10h2_m,to
cpd:C03460_m,HADHA_EHHADH_ECHS1,to
cpd:C00407_c,BCAT1,to
BCAT1,cpd:C00671_c,to
cpd:C00123_c,BCAT1>921,to
BCAT1>921,cpd:C00233_c,to
cpd:C00183_c,BCAT1>922,to
BCAT1>922,cpd:C00141_c,to
cpd:C01205_m,transporter>316,to
transporter>218,cpd:C00141_m,to
transporter>220,cpd:C00671_m,to
cpd:C00606_c,transporter>368,to
cpd:C00049_m,transporter>184,to
transporter>368,cpd:C00606_m,to
transporter>368,cpd:C00606_c,to
transporter>184,cpd:C00049_m,to
cpd:C00606_m,transporter>368,to
transporter>21,cpd:C00334_m,to
cpd:C00334_m,transporter>21,to
transporter>223,cpd:C00233_m,to
cpd:C01888_m,transporter>350,to
transporter>350,cpd:C01888_c,to
transporter>29,cpd:C00033_m,to
cpd:C00033_m,transporter>29,to
cpd:C00149_c,transporter>385,to
transporter>385,cpd:C00149_m,to
transporter>385,cpd:C00149_c,to
cpd:C00149_m,transporter>385,to
cpd:C00021_m,transporter>227,to
transporter>278,cpd:C00019_m,to
transporter>227,cpd:C00021_c,to
transporter>278,cpd:C00019_c,to
transporter>227,cpd:C00021_m,to
cpd:C00019_m,transporter>278,to
transporter>64,cpd:C00062_m,to
cpd:C00062_m,transporter>64,to
transporter>71,cpd:C00114_m,to
cpd:C00327_m,transporter>162,to
transporter>162,cpd:C00327_m,to
transporter>180,cpd:C00158_m,to
cpd:C00158_m,transporter>180,to
cpd:C00074_m,transporter>408,to
transporter>408,cpd:C00074_c,to
transporter>408,cpd:C00074_m,to
cpd:C00074_c,transporter>408,to
transporter>249,cpd:C01026_m,to
cpd:C00094_m,transporter>352,to
transporter>352,cpd:C00094_c,to
transporter>251,cpd:C00122_m,to
transporter>352,cpd:C00094_m,to
transporter>251,cpd:C00122_c,to
cpd:C00122_m,transporter>251,to
transporter>308,cpd:C00048_m,to
cpd:C00719_m,transporter>98,to
cpd:C00093_c,transporter>428,to
transporter>428,cpd:C00093_m,to
cpd:C00037_m,transporter>83,to
cpd:C00407_m,transporter>114,to
cpd:C00123_m,transporter>118,to
transporter>63,cpd:C00047_m,to
cpd:C00047_m,transporter>63,to
cpd:C00077_m,transporter>132,to
transporter>132,cpd:C00077_m,to
transporter>140,cpd:C00148_m,to
transporter>193,cpd:C00022_m,to
cpd:C00022_m,transporter>193,to
cpd:C00213_c,transporter>442,to
transporter>442,cpd:C00213_m,to
cpd:C00042_c,transporter>444,to
transporter>444,cpd:C00042_m,to
transporter>444,cpd:C00042_c,to
cpd:C00042_m,transporter>444,to
cpd:C00183_m,transporter>158,to
cpd:C00311_m,transporter>253,to
transporter>253,cpd:C00311_c,to
transporter>253,cpd:C00311_m,to
transporter>328,cpd:C00109_m,to
cpd:C00109_m,transporter>328,to
cpd:C00100_c,transporter>454,to
transporter>454,cpd:C00100_m,to
transporter>39,cpd:C00041_m,to
transporter>55,cpd:C00065_m,to
transporter>59,cpd:C00188_m,to
transporter>136,cpd:C00079_m,to
cpd:C00079_m,transporter>136,to
transporter>75,cpd:C00209_m,to
cpd:C00209_m,transporter>75,to
transporter>428,cpd:C00093_c,to
cpd:C00093_m,transporter>428,to
cpd:C04076_m,transporter>465,to
transporter>465,cpd:C04076_c,to
3aib__D_m,transporter>87,to
transporter>87,3aib__D_c,to
cpd:C00111_m,transporter>469,to
transporter>469,cpd:C00111_c,to
cpd:C01165_m,transporter>471,to
transporter>471,cpd:C01165_c,to
acgly_m,transporter>274,to
transporter>274,acgly_c,to
acthr__L_m,transporter>276,to
transporter>276,acthr__L_c,to
cpd:C00449_m,transporter>296,to
transporter>296,cpd:C00449_c,to
transporter>294,cpd:C00036_m,to
transporter>294,cpd:C00036_c,to
cpd:C00036_m,transporter>294,to
cpd:C00143_c,transporter>482,to
transporter>482,cpd:C00143_m,to
transporter>482,cpd:C00143_c,to
cpd:C00143_m,transporter>482,to
cpd:C01188_m,transporter>262,to
transporter>262,cpd:C01188_c,to
cpd:C00624_m,transporter>272,to
transporter>272,cpd:C00624_c,to
cpd:C00166_m,transporter>304,to
transporter>304,cpd:C00166_m,to
4ohbut_m,transporter>314,to
transporter>314,4ohbut_c,to
cpd:C00232_m,transporter>346,to
transporter>346,cpd:C00232_c,to
cpd:C00606_c,3SALAOX,to
3SALAOX,cpd:C00506_c,to
cpd:C00606_c,GOT1>1021,to
GOT1>1021,3snpyr_c,to
cpd:C00606_m,GOT2,to
GOT2,3snpyr_m,to
3snpyr_c,3SPYRSP,to
3SPYRSP,cpd:C00022_c,to
3SPYRSP,cpd:C00094_c,to
3snpyr_m,3SPYRSPm,to
3SPYRSPm,cpd:C00022_m,to
3SPYRSPm,cpd:C00094_m,to
cpd:C00097_c,GOT1>1022,to
GOT1>1022,cpd:C00957_c,to
cpd:C00073_c,MAT2B_MAT2A,to
MAT2B_MAT2A,cpd:C00019_c,to
cpd:C00073_c,MAT2_MAT2A>1023,to
MAT2_MAT2A>1023,cpd:C00019_c,to
cpd:C00440_c,MTR,to
cpd:C00155_c,MTR,to
MTR,cpd:C00073_c,to
cpd:C01180_c,UNK3r,to
UNK3r,cpd:C00073_c,to
cpd:C00065_c,SDS>1025,to
SDS>1025,cpd:C00022_c,to
cpd:C00021_c,AHCY,to
AHCY,cpd:C00212_c,to
AHCY,cpd:C00155_c,to
cpd:C00021_c,AHCYL1,to
AHCYL1,cpd:C00212_c,to
AHCYL1,cpd:C00155_c,to
cpd:C00021_c,AHCYL1>1026,to
AHCYL1>1026,cpd:C00212_c,to
AHCYL1>1026,cpd:C00155_c,to
cpd:C00019_c,HNMT,to
HNMT,cpd:C00021_c,to
HNMT,cpd:C00440_c,to
cpd:C00021_c,SARDH,to
cpd:C01026_c,SARDH,to
SARDH,cpd:C00019_c,to
SARDH,cpd:C00213_c,to
cpd:C00021_c,DMGDH>1027,to
cpd:C01026_c,DMGDH>1027,to
DMGDH>1027,cpd:C00019_c,to
DMGDH>1027,cpd:C00213_c,to
cpd:C00073_c,IL4I1,to
IL4I1,cpd:C01180_c,to
cpd:C00094_c,MPST,to
