HK2,O,M1A,hgnc_symbol,entrezgene_id
FALSE,FALSE,FALSE,ACSM2B,348158
TRUE,TRUE,TRUE,ACSM3,6296
FALSE,TRUE,TRUE,ACSM4,341392
TRUE,FALSE,FALSE,ACSM5,54988
FALSE,FALSE,FALSE,ACSM6,142827
TRUE,TRUE,TRUE,ACSS1,84532
TRUE,TRUE,TRUE,ACSS2,55902
TRUE,FALSE,FALSE,ACSS3,79611
FALSE,FALSE,FALSE,ACTA1,58
TRUE,TRUE,TRUE,ACTA2,59
TRUE,TRUE,TRUE,ACTB,60
TRUE,TRUE,TRUE,ACTBL2,345651
TRUE,FALSE,FALSE,ACTC1,70
FALSE,FALSE,FALSE,ACTE1P,399923
TRUE,TRUE,TRUE,ACTG1,71
FALSE,FALSE,FALSE,ACTG1P17,283693
TRUE,FALSE,FALSE,ACTG1P25,148709
TRUE,TRUE,TRUE,ACTG2,72
FALSE,FALSE,TRUE,ACTL10,170487
TRUE,TRUE,TRUE,ACTL6A,86
FALSE,FALSE,FALSE,ACTL6B,51412
FALSE,FALSE,FALSE,ACTL7A,10881
FALSE,FALSE,FALSE,ACTL7B,10880
FALSE,FALSE,FALSE,ACTL8,81569
FALSE,FALSE,FALSE,ACTL9,284382
TRUE,TRUE,TRUE,ACTN1,87
FALSE,FALSE,FALSE,ACTN1-DT,161159
TRUE,FALSE,FALSE,ACTN2,88
FALSE,FALSE,FALSE,ACTN3,89
TRUE,TRUE,TRUE,ACTN4,81
TRUE,TRUE,TRUE,ACTR10,55860
TRUE,TRUE,TRUE,ACTR1A,10121
TRUE,TRUE,TRUE,ACTR1B,10120
TRUE,TRUE,TRUE,ACTR2,10097
TRUE,TRUE,TRUE,ACTR3,10096
TRUE,TRUE,TRUE,ACTR3B,57180
FALSE,FALSE,FALSE,ACTR3BP6,440888
TRUE,TRUE,TRUE,ACTR3C,653857
TRUE,TRUE,TRUE,ACTR6,64431
FALSE,FALSE,FALSE,ACTRT1,139741
FALSE,FALSE,FALSE,ACTRT2,140625
TRUE,TRUE,FALSE,ACTRT3,84517
TRUE,TRUE,TRUE,ACVR1,90
TRUE,TRUE,TRUE,ACVR1B,91
FALSE,FALSE,FALSE,ACVR1C,130399
TRUE,TRUE,TRUE,ACVR2A,92
TRUE,TRUE,TRUE,ACVR2B,93
FALSE,FALSE,FALSE,ACVR2B-AS1,100128640
FALSE,FALSE,FALSE,ACVRL1,94
FALSE,FALSE,FALSE,ACY1,95
FALSE,FALSE,FALSE,ACY3,91703
TRUE,TRUE,TRUE,ACYP1,97
TRUE,TRUE,TRUE,ACYP2,98
TRUE,TRUE,TRUE,ADA,100
FALSE,FALSE,FALSE,ADA2,51816
FALSE,FALSE,FALSE,ADAD1,132612
FALSE,FALSE,FALSE,ADAD2,161931
TRUE,TRUE,TRUE,ADAL,161823
TRUE,TRUE,TRUE,ADAM10,102
TRUE,FALSE,FALSE,ADAM11,4185
TRUE,TRUE,TRUE,ADAM12,8038
TRUE,TRUE,TRUE,ADAM15,8751
TRUE,TRUE,TRUE,ADAM17,6868
FALSE,FALSE,FALSE,ADAM18,8749
TRUE,TRUE,TRUE,ADAM19,8728
FALSE,FALSE,FALSE,ADAM2,2515
FALSE,FALSE,FALSE,ADAM20,8748
FALSE,FALSE,FALSE,ADAM20P1,317760
FALSE,FALSE,FALSE,ADAM21,8747
FALSE,FALSE,FALSE,ADAM21P1,145241
TRUE,TRUE,TRUE,ADAM22,53616
FALSE,FALSE,FALSE,ADAM23,8745
FALSE,FALSE,FALSE,ADAM28,10863
FALSE,FALSE,FALSE,ADAM29,11086
FALSE,FALSE,FALSE,ADAM30,11085
FALSE,FALSE,FALSE,ADAM32,203102
FALSE,FALSE,FALSE,ADAM33,80332
FALSE,FALSE,FALSE,ADAM3A,1587
FALSE,FALSE,FALSE,ADAM6,8755
FALSE,FALSE,FALSE,ADAM7,8756
TRUE,FALSE,FALSE,ADAM8,101
TRUE,TRUE,TRUE,ADAM9,8754
FALSE,FALSE,FALSE,ADAMDEC1,27299
TRUE,TRUE,TRUE,ADAMTS1,9510
TRUE,FALSE,FALSE,ADAMTS10,81794
TRUE,TRUE,TRUE,ADAMTS12,81792
TRUE,TRUE,FALSE,ADAMTS13,11093
FALSE,FALSE,FALSE,ADAMTS14,140766
TRUE,TRUE,TRUE,ADAMTS15,170689
FALSE,FALSE,FALSE,ADAMTS18,170692
FALSE,FALSE,FALSE,ADAMTS19,171019
FALSE,FALSE,FALSE,ADAMTS19-AS1,103689846
FALSE,FALSE,FALSE,ADAMTS20,80070
TRUE,TRUE,TRUE,ADAMTS3,9508
FALSE,FALSE,FALSE,ADAMTS4,9507
TRUE,TRUE,TRUE,ADAMTS5,11096
TRUE,TRUE,TRUE,ADAMTS6,11174
TRUE,TRUE,TRUE,ADAMTS7,11173
FALSE,FALSE,FALSE,ADAMTS8,11095
TRUE,TRUE,TRUE,ADAMTS9,56999
FALSE,FALSE,FALSE,ADAMTS9-AS1,101929335
FALSE,TRUE,TRUE,ADAMTSL1,92949
FALSE,FALSE,FALSE,ADAMTSL2,9719
TRUE,TRUE,TRUE,ADAMTSL3,57188
TRUE,TRUE,FALSE,ADAMTSL4,54507
TRUE,TRUE,TRUE,ADAMTSL5,339366
TRUE,FALSE,FALSE,ADAP1,11033
TRUE,TRUE,TRUE,ADAP2,55803
TRUE,TRUE,TRUE,ADAR,103
TRUE,TRUE,TRUE,ADARB1,104
TRUE,TRUE,TRUE,ADAT1,23536
TRUE,TRUE,TRUE,ADAT2,134637
TRUE,TRUE,TRUE,ADAT3,113179
TRUE,TRUE,TRUE,ADCK1,57143
TRUE,TRUE,TRUE,ADCK2,90956
TRUE,TRUE,TRUE,ADCK5,203054
TRUE,FALSE,FALSE,ADCY1,107
FALSE,FALSE,FALSE,ADCY10,55811
FALSE,TRUE,TRUE,ADCY10P1,221442
FALSE,FALSE,FALSE,ADCY2,108
TRUE,TRUE,TRUE,ADCY3,109
FALSE,FALSE,FALSE,ADCY4,196883
FALSE,FALSE,FALSE,ADCY5,111
TRUE,TRUE,TRUE,ADCY6,112
FALSE,FALSE,FALSE,ADCY6-DT,100506125
TRUE,TRUE,TRUE,ADCY7,113
TRUE,TRUE,TRUE,ADCY9,115
FALSE,FALSE,FALSE,ADCYAP1,116
FALSE,FALSE,FALSE,ADCYAP1R1,117
TRUE,TRUE,TRUE,ADD1,118
TRUE,FALSE,FALSE,ADD2,119
TRUE,TRUE,TRUE,ADD3,120
FALSE,FALSE,FALSE,ADD3-AS1,100505933
FALSE,FALSE,FALSE,ADGB,79747
FALSE,FALSE,FALSE,ADGB-DT,101928661
FALSE,FALSE,FALSE,ADGRA1,84435
TRUE,TRUE,FALSE,ADGRA2,25960
FALSE,FALSE,FALSE,ADGRB1,575
TRUE,TRUE,TRUE,ADGRB2,576
TRUE,TRUE,FALSE,ADGRB3,577
FALSE,FALSE,FALSE,ADGRD1,283383
FALSE,FALSE,FALSE,ADGRD2,347088
FALSE,FALSE,FALSE,ADGRE1,2015
TRUE,TRUE,TRUE,ADGRE2,30817
FALSE,FALSE,FALSE,ADGRE3,84658
FALSE,FALSE,FALSE,ADGRE4P,326342
TRUE,TRUE,TRUE,ADGRE5,976
FALSE,FALSE,FALSE,ADGRF1,266977
FALSE,FALSE,FALSE,ADGRF2,222611
FALSE,FALSE,FALSE,ADGRF3,165082
TRUE,TRUE,TRUE,ADGRF4,221393
FALSE,FALSE,FALSE,ADGRF5,221395
TRUE,TRUE,TRUE,ADGRG1,9289
TRUE,TRUE,TRUE,ADGRG2,10149
FALSE,FALSE,FALSE,ADGRG4,139378
FALSE,FALSE,FALSE,ADGRG5,221188
TRUE,TRUE,TRUE,ADGRG6,57211
FALSE,FALSE,FALSE,ADGRG7,84873
TRUE,TRUE,TRUE,ADGRL1,22859
FALSE,TRUE,TRUE,ADGRL1-AS1,100507373
TRUE,TRUE,TRUE,ADGRL2,23266
FALSE,FALSE,FALSE,ADGRL3,23284
FALSE,FALSE,FALSE,ADGRL4,64123
FALSE,FALSE,FALSE,ADGRV1,84059
FALSE,FALSE,FALSE,ADH1B,125
FALSE,FALSE,FALSE,ADH1C,126
FALSE,FALSE,FALSE,ADH4,127
TRUE,TRUE,TRUE,ADH5,128
FALSE,FALSE,FALSE,ADH6,130
FALSE,FALSE,FALSE,ADH7,131
FALSE,FALSE,FALSE,ADHFE1,137872
FALSE,FALSE,FALSE,ADIG,149685
FALSE,FALSE,FALSE,ADIPOQ,9370
FALSE,FALSE,FALSE,ADIPOQ-AS1,100874095
TRUE,TRUE,TRUE,ADIPOR1,51094
TRUE,TRUE,TRUE,ADIPOR2,79602
FALSE,TRUE,FALSE,ADIRF,10974
TRUE,TRUE,TRUE,ADK,132
TRUE,TRUE,TRUE,ADM,133
FALSE,FALSE,TRUE,ADM2,79924
TRUE,TRUE,TRUE,ADM5,199800
TRUE,TRUE,TRUE,ADNP,23394
FALSE,FALSE,FALSE,ADNP-AS1,101927631
TRUE,TRUE,TRUE,ADNP2,22850
TRUE,TRUE,TRUE,ADO,84890
TRUE,TRUE,TRUE,ADORA1,134
FALSE,FALSE,FALSE,ADORA2A,135
TRUE,FALSE,FALSE,ADORA2A-AS1,646023
FALSE,FALSE,FALSE,ADORA3,140
TRUE,TRUE,TRUE,ADPGK,83440
FALSE,FALSE,FALSE,ADPGK-AS1,100287559
TRUE,TRUE,TRUE,ADPRH,141
FALSE,FALSE,FALSE,ADPRHL1,113622
TRUE,TRUE,TRUE,ADPRM,56985
TRUE,TRUE,TRUE,ADPRS,54936
FALSE,FALSE,FALSE,ADRA1A,148
TRUE,TRUE,TRUE,ADRA1B,147
FALSE,FALSE,FALSE,ADRA1D,146
FALSE,FALSE,FALSE,ADRA2A,150
FALSE,FALSE,FALSE,ADRA2C,152
TRUE,FALSE,FALSE,ADRB1,153
TRUE,FALSE,FALSE,ADRB2,154
FALSE,FALSE,FALSE,ADRB3,155
TRUE,TRUE,TRUE,ADRM1,11047
TRUE,TRUE,TRUE,ADSL,158
TRUE,FALSE,FALSE,ADSS1,122622
TRUE,TRUE,TRUE,ADSS2,159
TRUE,TRUE,TRUE,ADTRP,84830
TRUE,FALSE,FALSE,AEBP1,165
TRUE,TRUE,TRUE,AEBP2,121536
TRUE,TRUE,TRUE,AEN,64782
TRUE,TRUE,TRUE,AFAP1,60312
TRUE,FALSE,FALSE,AFAP1-AS1,84740
TRUE,TRUE,TRUE,AFAP1L1,134265
TRUE,TRUE,TRUE,AFAP1L2,84632
TRUE,TRUE,TRUE,AFDN,4301
TRUE,TRUE,TRUE,AFF1,4299
FALSE,TRUE,FALSE,AFF2,2334
TRUE,TRUE,TRUE,AFF3,3899
TRUE,TRUE,TRUE,AFF4,27125
TRUE,TRUE,TRUE,AFG1L,246269
TRUE,TRUE,TRUE,AFG3L1P,172
TRUE,TRUE,TRUE,AFG3L2,10939
FALSE,FALSE,FALSE,AFM,173
TRUE,TRUE,TRUE,AFMID,125061
TRUE,FALSE,TRUE,AFP,174
TRUE,TRUE,TRUE,AFTPH,54812
FALSE,FALSE,FALSE,AFTPH-DT,101927402
TRUE,TRUE,TRUE,AGA,175
TRUE,TRUE,TRUE,AGAP1,116987
FALSE,FALSE,FALSE,AGAP12P,414224
FALSE,FALSE,TRUE,AGAP2,116986
TRUE,TRUE,TRUE,AGAP2-AS1,100130776
TRUE,TRUE,TRUE,AGAP3,116988
TRUE,TRUE,TRUE,AGAP4,119016
TRUE,TRUE,TRUE,AGAP6,414189
TRUE,TRUE,TRUE,AGAP9,642517
FALSE,FALSE,FALSE,AGBL1,123624
FALSE,FALSE,FALSE,AGBL1-AS1,727915
FALSE,FALSE,FALSE,AGBL2,79841
TRUE,TRUE,TRUE,AGBL3,340351
FALSE,FALSE,FALSE,AGBL4,84871
FALSE,FALSE,FALSE,AGBL4-IT1,100874313
TRUE,TRUE,TRUE,AGBL5,60509
FALSE,FALSE,FALSE,AGBL5-AS1,100874031
TRUE,TRUE,TRUE,AGER,177
TRUE,TRUE,TRUE,AGFG1,3267
TRUE,TRUE,TRUE,AGFG2,3268
TRUE,TRUE,TRUE,AGGF1,55109
TRUE,TRUE,TRUE,AGK,55750
TRUE,TRUE,TRUE,AGL,178
FALSE,FALSE,FALSE,AGMO,392636
TRUE,TRUE,TRUE,AGO1,26523
TRUE,TRUE,TRUE,AGO2,27161
TRUE,TRUE,TRUE,AGO3,192669
TRUE,TRUE,TRUE,AGO4,192670
TRUE,TRUE,TRUE,AGPAT1,10554
TRUE,TRUE,TRUE,AGPAT2,10555
TRUE,TRUE,TRUE,AGPAT3,56894
TRUE,TRUE,TRUE,AGPAT4,56895
TRUE,TRUE,TRUE,AGPAT5,55326
TRUE,TRUE,TRUE,AGPS,8540
FALSE,FALSE,FALSE,AGR2,10551
FALSE,FALSE,FALSE,AGR3,155465
TRUE,TRUE,TRUE,AGRN,375790
FALSE,FALSE,FALSE,AGRP,181
TRUE,TRUE,FALSE,AGT,183
TRUE,TRUE,TRUE,AGTPBP1,23287
FALSE,FALSE,FALSE,AGTR1,185
FALSE,FALSE,FALSE,AGTR2,186
TRUE,TRUE,TRUE,AGTRAP,57085
FALSE,FALSE,FALSE,AGXT,189
FALSE,FALSE,FALSE,AGXT2,64902
TRUE,TRUE,TRUE,AHCTF1,25909
TRUE,TRUE,TRUE,AHCY,191
TRUE,TRUE,TRUE,AHCYL1,10768
TRUE,TRUE,TRUE,AHCYL2,23382
TRUE,TRUE,TRUE,AHDC1,27245
TRUE,TRUE,TRUE,AHI1,54806
FALSE,FALSE,FALSE,AHI1-DT,100131814
TRUE,TRUE,TRUE,AHNAK,79026
TRUE,TRUE,TRUE,AHNAK2,113146
TRUE,TRUE,TRUE,AHR,196
TRUE,TRUE,TRUE,AHRR,57491
TRUE,TRUE,TRUE,AHSA1,10598
FALSE,FALSE,FALSE,AHSG,197
FALSE,FALSE,FALSE,AHSP,51327
FALSE,FALSE,FALSE,AICDA,57379
TRUE,TRUE,TRUE,AIDA,64853
FALSE,FALSE,FALSE,AIF1,199
TRUE,TRUE,TRUE,AIF1L,83543
TRUE,TRUE,TRUE,AIFM1,9131
TRUE,TRUE,TRUE,AIFM2,84883
TRUE,FALSE,FALSE,AIFM3,150209
TRUE,TRUE,TRUE,AIG1,51390
FALSE,FALSE,FALSE,AIM2,9447
TRUE,TRUE,TRUE,AIMP1,9255
TRUE,TRUE,TRUE,AIMP2,7965
TRUE,TRUE,TRUE,AIP,9049
FALSE,FALSE,FALSE,AIPL1,23746
FALSE,FALSE,FALSE,AIRE,326
FALSE,FALSE,FALSE,AIRN,100271873
FALSE,TRUE,FALSE,AJAP1,55966
TRUE,TRUE,TRUE,AJM1,389813
TRUE,TRUE,TRUE,AJUBA,84962
TRUE,TRUE,TRUE,AK1,203
TRUE,TRUE,TRUE,AK2,204
TRUE,TRUE,TRUE,AK3,50808
TRUE,TRUE,TRUE,AK4,205
TRUE,TRUE,TRUE,AK5,26289
TRUE,TRUE,TRUE,AK6,102157402
TRUE,FALSE,FALSE,AK7,122481
TRUE,TRUE,TRUE,AK8,158067
TRUE,TRUE,TRUE,AK9,221264
FALSE,FALSE,FALSE,AKAIN1,642597
TRUE,TRUE,TRUE,AKAP1,8165
TRUE,TRUE,TRUE,AKAP11,11215
TRUE,TRUE,TRUE,AKAP12,9590
TRUE,TRUE,TRUE,AKAP13,11214
FALSE,FALSE,FALSE,AKAP14,158798
FALSE,FALSE,FALSE,AKAP3,10566
FALSE,FALSE,FALSE,AKAP4,8852
TRUE,TRUE,TRUE,AKAP5,9495
TRUE,TRUE,TRUE,AKAP7,9465
TRUE,TRUE,TRUE,AKAP8L,26993
TRUE,TRUE,TRUE,AKAP9,10142
TRUE,TRUE,TRUE,AKIP1,56672
TRUE,TRUE,TRUE,AKIRIN1,79647
TRUE,TRUE,TRUE,AKIRIN2,55122
TRUE,TRUE,TRUE,AKNA,80709
TRUE,TRUE,TRUE,AKR1A1,10327
TRUE,TRUE,TRUE,AKR1B1,231
FALSE,FALSE,TRUE,AKR1B10,57016
FALSE,FALSE,FALSE,AKR1B15,441282
TRUE,TRUE,FALSE,AKR1C1,1645
FALSE,FALSE,FALSE,AKR1C2,1646
TRUE,TRUE,TRUE,AKR1C3,8644
TRUE,FALSE,FALSE,AKR1C4,1109
FALSE,FALSE,FALSE,AKR1C8P,340811
FALSE,FALSE,FALSE,AKR1D1,6718
FALSE,FALSE,FALSE,AKR1E2,83592
TRUE,TRUE,TRUE,AKR7A2,8574
TRUE,TRUE,TRUE,AKR7A3,22977
TRUE,TRUE,TRUE,AKT1,207
TRUE,TRUE,TRUE,AKT1S1,84335
TRUE,TRUE,TRUE,AKT2,208
TRUE,TRUE,TRUE,AKT3,10000
TRUE,TRUE,TRUE,AKTIP,64400
TRUE,TRUE,TRUE,ALAD,210
TRUE,TRUE,TRUE,ALAS1,211
FALSE,FALSE,FALSE,ALAS2,212
FALSE,FALSE,FALSE,ALB,213
TRUE,TRUE,TRUE,ALCAM,214
TRUE,TRUE,TRUE,ALDH16A1,126133
TRUE,TRUE,TRUE,ALDH18A1,5832
FALSE,TRUE,TRUE,ALDH1A1,216
FALSE,FALSE,FALSE,ALDH1A2,8854
TRUE,TRUE,TRUE,ALDH1A3,220
FALSE,FALSE,FALSE,ALDH1A3-AS1,101927751
TRUE,TRUE,TRUE,ALDH1B1,219
FALSE,FALSE,FALSE,ALDH1L1,10840
FALSE,FALSE,FALSE,ALDH1L1-AS1,100874204
FALSE,FALSE,FALSE,ALDH1L1-AS2,100862662
TRUE,FALSE,TRUE,ALDH1L2,160428
FALSE,TRUE,TRUE,ALDH2,217
FALSE,FALSE,FALSE,ALDH3A1,218
TRUE,TRUE,TRUE,ALDH3A2,224
TRUE,TRUE,TRUE,ALDH3B1,221
FALSE,FALSE,FALSE,ALDH3B2,222
TRUE,TRUE,TRUE,ALDH4A1,8659
TRUE,TRUE,TRUE,ALDH5A1,7915
TRUE,TRUE,TRUE,ALDH6A1,4329
TRUE,TRUE,TRUE,ALDH7A1,501
FALSE,FALSE,FALSE,ALDH8A1,64577
TRUE,TRUE,TRUE,ALDH9A1,223
TRUE,TRUE,TRUE,ALDOA,226
FALSE,FALSE,FALSE,ALDOB,229
FALSE,TRUE,TRUE,ALDOC,230
TRUE,TRUE,TRUE,ALG1,56052
TRUE,TRUE,TRUE,ALG10,84920
