HK2,O,M1A,hgnc_symbol,entrezgene_id
TRUE,FALSE,FALSE,A1BG,1
FALSE,FALSE,FALSE,A1BG-AS1,503538
FALSE,FALSE,FALSE,A1CF,29974
FALSE,FALSE,FALSE,A2M,2
FALSE,FALSE,FALSE,A2M-AS1,144571
FALSE,FALSE,FALSE,A2ML1,144568
FALSE,FALSE,FALSE,A2MP1,3
FALSE,FALSE,FALSE,A3GALT2,127550
TRUE,TRUE,TRUE,A4GALT,53947
FALSE,FALSE,FALSE,A4GNT,51146
TRUE,TRUE,TRUE,AAAS,8086
TRUE,TRUE,TRUE,AACS,65985
FALSE,FALSE,FALSE,AACSP1,729522
FALSE,FALSE,FALSE,AADAC,13
FALSE,FALSE,FALSE,AADACL2,344752
FALSE,FALSE,FALSE,AADACL3,126767
FALSE,FALSE,FALSE,AADACL4,343066
FALSE,FALSE,FALSE,AADACP1,201651
TRUE,TRUE,TRUE,AADAT,51166
TRUE,TRUE,TRUE,AAGAB,79719
TRUE,TRUE,TRUE,AAK1,22848
TRUE,TRUE,TRUE,AAMDC,28971
TRUE,TRUE,TRUE,AAMP,14
FALSE,FALSE,FALSE,AANAT,15
TRUE,TRUE,TRUE,AAR2,25980
TRUE,FALSE,FALSE,AARD,441376
TRUE,TRUE,TRUE,AARS1,16
TRUE,TRUE,TRUE,AARS2,57505
FALSE,FALSE,FALSE,AARSD1,80755
TRUE,TRUE,TRUE,AASDH,132949
TRUE,TRUE,TRUE,AASDHPPT,60496
TRUE,TRUE,TRUE,AASS,10157
FALSE,FALSE,FALSE,AATBC,284837
TRUE,TRUE,TRUE,AATF,26574
FALSE,FALSE,FALSE,AATK,9625
TRUE,TRUE,FALSE,ABAT,18
TRUE,TRUE,TRUE,ABCA1,19
FALSE,FALSE,FALSE,ABCA10,10349
TRUE,TRUE,TRUE,ABCA11P,79963
TRUE,TRUE,TRUE,ABCA12,26154
FALSE,TRUE,TRUE,ABCA13,154664
TRUE,FALSE,TRUE,ABCA17P,650655
TRUE,TRUE,TRUE,ABCA2,20
TRUE,TRUE,TRUE,ABCA3,21
FALSE,FALSE,FALSE,ABCA4,24
TRUE,TRUE,TRUE,ABCA5,23461
FALSE,FALSE,FALSE,ABCA6,23460
TRUE,TRUE,TRUE,ABCA7,10347
FALSE,FALSE,FALSE,ABCA8,10351
FALSE,FALSE,FALSE,ABCA9,10350
TRUE,TRUE,TRUE,ABCB1,5243
TRUE,TRUE,TRUE,ABCB10,23456
FALSE,FALSE,FALSE,ABCB11,8647
TRUE,FALSE,FALSE,ABCB4,5244
FALSE,FALSE,FALSE,ABCB5,340273
TRUE,TRUE,TRUE,ABCB6,10058
TRUE,TRUE,TRUE,ABCB7,22
TRUE,TRUE,TRUE,ABCB8,11194
TRUE,TRUE,TRUE,ABCB9,23457
TRUE,TRUE,TRUE,ABCC1,4363
TRUE,TRUE,TRUE,ABCC10,89845
FALSE,FALSE,FALSE,ABCC11,85320
FALSE,FALSE,FALSE,ABCC12,94160
FALSE,FALSE,FALSE,ABCC13,150000
TRUE,TRUE,FALSE,ABCC2,1244
TRUE,TRUE,TRUE,ABCC4,10257
TRUE,TRUE,TRUE,ABCC5,10057
FALSE,FALSE,FALSE,ABCC5-AS1,100873982
TRUE,FALSE,FALSE,ABCC6,368
FALSE,FALSE,FALSE,ABCC8,6833
TRUE,TRUE,TRUE,ABCC9,10060
TRUE,TRUE,TRUE,ABCD1,215
FALSE,FALSE,FALSE,ABCD2,225
TRUE,TRUE,TRUE,ABCD3,5825
TRUE,TRUE,TRUE,ABCD4,5826
TRUE,TRUE,TRUE,ABCE1,6059
TRUE,TRUE,TRUE,ABCF1,23
TRUE,TRUE,TRUE,ABCF3,55324
FALSE,FALSE,FALSE,ABCG1,9619
TRUE,TRUE,TRUE,ABCG2,9429
FALSE,FALSE,FALSE,ABCG4,64137
FALSE,FALSE,FALSE,ABCG5,64240
FALSE,FALSE,FALSE,ABCG8,64241
FALSE,FALSE,FALSE,ABHD1,84696
TRUE,TRUE,TRUE,ABHD10,55347
TRUE,TRUE,TRUE,ABHD11,83451
TRUE,TRUE,TRUE,ABHD12,26090
FALSE,FALSE,FALSE,ABHD12B,145447
TRUE,TRUE,TRUE,ABHD13,84945
TRUE,TRUE,TRUE,ABHD14A,25864
FALSE,FALSE,FALSE,ABHD14A-ACY1,100526760
TRUE,TRUE,TRUE,ABHD14B,84836
TRUE,TRUE,TRUE,ABHD16A,7920
TRUE,TRUE,TRUE,ABHD16B,140701
TRUE,TRUE,TRUE,ABHD17A,81926
TRUE,TRUE,TRUE,ABHD17B,51104
TRUE,TRUE,TRUE,ABHD18,80167
TRUE,TRUE,TRUE,ABHD2,11057
TRUE,TRUE,TRUE,ABHD3,171586
TRUE,TRUE,TRUE,ABHD4,63874
TRUE,TRUE,TRUE,ABHD5,51099
TRUE,TRUE,TRUE,ABHD6,57406
TRUE,TRUE,TRUE,ABI1,10006
TRUE,TRUE,TRUE,ABI2,10152
TRUE,FALSE,FALSE,ABI3,51225
TRUE,TRUE,TRUE,ABI3BP,25890
TRUE,TRUE,TRUE,ABITRAM,54942
TRUE,TRUE,TRUE,ABL1,25
TRUE,TRUE,TRUE,ABL2,27
TRUE,TRUE,TRUE,ABLIM1,3983
FALSE,FALSE,FALSE,ABLIM2,84448
TRUE,TRUE,TRUE,ABLIM3,22885
FALSE,FALSE,FALSE,ABO,28
TRUE,TRUE,TRUE,ABR,29
FALSE,FALSE,FALSE,ABRA,137735
TRUE,TRUE,TRUE,ABRACL,58527
TRUE,TRUE,TRUE,ABRAXAS1,84142
TRUE,TRUE,TRUE,ABRAXAS2,23172
TRUE,TRUE,TRUE,ABTB1,80325
TRUE,TRUE,TRUE,ABTB2,25841
TRUE,TRUE,TRUE,ACAA1,30
TRUE,TRUE,TRUE,ACAA2,10449
TRUE,TRUE,TRUE,ACACA,31
TRUE,TRUE,TRUE,ACACB,32
TRUE,TRUE,TRUE,ACAD10,80724
TRUE,FALSE,FALSE,ACAD11,84129
TRUE,TRUE,TRUE,ACAD8,27034
TRUE,TRUE,TRUE,ACAD9,28976
FALSE,FALSE,FALSE,ACADL,33
TRUE,TRUE,TRUE,ACADM,34
TRUE,TRUE,TRUE,ACADS,35
TRUE,TRUE,TRUE,ACADSB,36
TRUE,TRUE,TRUE,ACADVL,37
FALSE,FALSE,FALSE,ACAN,176
FALSE,TRUE,TRUE,ACAP1,9744
TRUE,TRUE,TRUE,ACAP2,23527
TRUE,TRUE,TRUE,ACAP3,116983
TRUE,TRUE,TRUE,ACAT1,38
TRUE,TRUE,TRUE,ACAT2,39
TRUE,TRUE,TRUE,ACBD3,64746
TRUE,TRUE,TRUE,ACBD4,79777
TRUE,TRUE,TRUE,ACBD5,91452
TRUE,TRUE,TRUE,ACBD6,100527964
TRUE,TRUE,TRUE,ACBD7,414149
TRUE,TRUE,TRUE,ACCS,84680
FALSE,FALSE,FALSE,ACCSL,390110
TRUE,TRUE,TRUE,ACD,65057
TRUE,FALSE,FALSE,ACE,1636
TRUE,FALSE,FALSE,ACE2,59272
FALSE,FALSE,FALSE,ACER1,125981
TRUE,TRUE,TRUE,ACER2,340485
TRUE,TRUE,TRUE,ACER3,55331
TRUE,FALSE,FALSE,ACHE,43
TRUE,TRUE,TRUE,ACIN1,22985
FALSE,FALSE,FALSE,ACKR1,2532
FALSE,FALSE,FALSE,ACKR2,1238
FALSE,TRUE,TRUE,ACKR3,57007
FALSE,FALSE,FALSE,ACKR4,51554
TRUE,TRUE,TRUE,ACLY,47
FALSE,FALSE,FALSE,ACMSD,130013
TRUE,TRUE,TRUE,ACO1,48
TRUE,TRUE,TRUE,ACO2,50
FALSE,FALSE,FALSE,ACOD1,730249
TRUE,TRUE,TRUE,ACOT1,641371
TRUE,TRUE,TRUE,ACOT11,26027
FALSE,FALSE,FALSE,ACOT12,134526
TRUE,TRUE,TRUE,ACOT13,55856
TRUE,TRUE,TRUE,ACOT2,10965
FALSE,FALSE,FALSE,ACOT4,122970
FALSE,FALSE,FALSE,ACOT6,641372
TRUE,TRUE,TRUE,ACOT7,11332
TRUE,TRUE,TRUE,ACOT8,10005
TRUE,TRUE,TRUE,ACOT9,23597
TRUE,TRUE,TRUE,ACOX1,51
FALSE,FALSE,FALSE,ACOX2,8309
TRUE,TRUE,TRUE,ACOX3,8310
TRUE,FALSE,FALSE,ACOXL,55289
FALSE,FALSE,FALSE,ACOXL-AS1,400997
TRUE,TRUE,TRUE,ACP1,52
TRUE,TRUE,TRUE,ACP2,53
FALSE,FALSE,FALSE,ACP3,55
FALSE,FALSE,FALSE,ACP4,93650
TRUE,TRUE,TRUE,ACP5,54
TRUE,TRUE,TRUE,ACP6,51205
FALSE,FALSE,FALSE,ACP7,390928
FALSE,FALSE,FALSE,ACR,49
FALSE,FALSE,FALSE,ACRV1,56
FALSE,FALSE,FALSE,ACSBG1,23205
FALSE,FALSE,FALSE,ACSBG2,81616
TRUE,TRUE,TRUE,ACSF2,80221
TRUE,TRUE,TRUE,ACSF3,197322
TRUE,TRUE,TRUE,ACSL1,2180
TRUE,TRUE,TRUE,ACSL3,2181
TRUE,TRUE,TRUE,ACSL4,2182
TRUE,TRUE,TRUE,ACSL5,51703
FALSE,FALSE,FALSE,ACSL6,23305
FALSE,FALSE,FALSE,ACSM1,116285
FALSE,FALSE,FALSE,ACSM2A,123876
