sample,condition
786_M1A_1,786_M1A
786_M1A_2,786_M1A
786_M1A_3,786_M1A
786_O_1,786_O
786_O_2,786_O
786_O_3,786_O
HK2_1,HK2
HK2_2,HK2
HK2_3,HK2
