gene,term
GPD2,generic_metabolism
GPI,generic_metabolism
GPT,generic_metabolism
GPT2,generic_metabolism
GPX1,generic_metabolism
GPX2,generic_metabolism
GPX4,generic_metabolism
GSR,generic_metabolism
GSS,generic_metabolism
GSTZ1,generic_metabolism
H6PD,generic_metabolism
HAAO,generic_metabolism
HADH,generic_metabolism
HADHB,generic_metabolism
HAL,generic_metabolism
HDC,generic_metabolism
HGD,generic_metabolism
HIBADH,generic_metabolism
HK1,generic_metabolism
HK2,generic_metabolism
HK3,generic_metabolism
HKDC1,generic_metabolism
HMGCL,generic_metabolism
HMGCLL1,generic_metabolism
HMGCS2,generic_metabolism
HPD,generic_metabolism
HSD17B10,generic_metabolism
IDH1,generic_metabolism
IDH2,generic_metabolism
IDO1,generic_metabolism
IDO2,generic_metabolism
IREB2,generic_metabolism
IVD,generic_metabolism
KMO,generic_metabolism
KYAT1,generic_metabolism
KYNU,generic_metabolism
LDHA,generic_metabolism
LDHAL6A,generic_metabolism
LDHAL6B,generic_metabolism
LDHB,generic_metabolism
LDHC,generic_metabolism
LGSN,generic_metabolism
LHPP,generic_metabolism
MAT1A,generic_metabolism
MCEE,generic_metabolism
MDH1,generic_metabolism
MDH1B,generic_metabolism
MDH2,generic_metabolism
ME1,generic_metabolism
ME2,generic_metabolism
ME3,generic_metabolism
MIA3,generic_metabolism
MTHFD1,generic_metabolism
MTHFD2,generic_metabolism
MTHFD2L,generic_metabolism
MTHFD2P1,generic_metabolism
MTHFR,generic_metabolism
MTR,generic_metabolism
MUT,generic_metabolism
NIT2,generic_metabolism
NNT,generic_metabolism
NOS2,generic_metabolism
NT5C,generic_metabolism
NT5C1A,generic_metabolism
NT5C1B,generic_metabolism
NT5C2,generic_metabolism
NT5C3A,generic_metabolism
OAT,generic_metabolism
ODC1,generic_metabolism
OTC,generic_metabolism
PAH,generic_metabolism
PAICS,generic_metabolism
PC,generic_metabolism
PCK1,generic_metabolism
PCK2,generic_metabolism
PFAS,generic_metabolism
PFKL,generic_metabolism
PFKM,generic_metabolism
PFKP,generic_metabolism
PGAM1,generic_metabolism
PGAM2,generic_metabolism
PGD,generic_metabolism
PGK1,generic_metabolism
PGK2,generic_metabolism
PGLS,generic_metabolism
PHGDH,generic_metabolism
PKLR,generic_metabolism
PKM,generic_metabolism
PPA1,generic_metabolism
PPA2,generic_metabolism
PPAT,generic_metabolism
PRDX1,generic_metabolism
PRDX2,generic_metabolism
PRDX3,generic_metabolism
PRODH,generic_metabolism
PRODH2,generic_metabolism
PRPS1,generic_metabolism
PRPS1L1,generic_metabolism
PRPS2,generic_metabolism
PSAT1,generic_metabolism
PSPH,generic_metabolism
PYCR1,generic_metabolism
PYCR2,generic_metabolism
PYCR3,generic_metabolism
QDPR,generic_metabolism
RPE,generic_metabolism
RPIA,generic_metabolism
RWDD2A,generic_metabolism
SARDH,generic_metabolism
SDS,generic_metabolism
SDSL,generic_metabolism
SHMT1,generic_metabolism
SHMT2,generic_metabolism
SMS,generic_metabolism
SRM,generic_metabolism
SUCLA2,generic_metabolism
SUOX,generic_metabolism
TALDO1,generic_metabolism
TAT,generic_metabolism
TDO2,generic_metabolism
TKT,generic_metabolism
TKTL1,generic_metabolism
TKTL2,generic_metabolism
TPI1,generic_metabolism
TPI1P2,generic_metabolism
UEVLD,generic_metabolism
UROC1,generic_metabolism
ZADH2,generic_metabolism
