KEGG,OvHK2,M1AvHK2,M2AvHK2,M1AvO
cpd:C00956_l,10.882882182369952,4.418225036805975,-2.256414453899177,-6.464657145563979
cpd:C00956,10.882882182369952,4.418225036805975,-2.256414453899177,-6.464657145563979
cpd:C00956_x,10.882882182369952,4.418225036805975,-2.256414453899177,-6.464657145563979
cpd:C00956_m,10.882882182369952,4.418225036805975,-2.256414453899177,-6.464657145563979
cpd:C00956_n,10.882882182369952,4.418225036805975,-2.256414453899177,-6.464657145563979
cpd:C00956_c,10.882882182369952,4.418225036805975,-2.256414453899177,-6.464657145563979
cpd:C00956_e,10.882882182369952,4.418225036805975,-2.256414453899177,-6.464657145563979
cpd:C00956_r,10.882882182369952,4.418225036805975,-2.256414453899177,-6.464657145563979
cpd:C02630_x,19.58978012244897,20.05903974301634,21.493913746408975,0.4692596205673687
cpd:C02630_l,19.58978012244897,20.05903974301634,21.493913746408975,0.4692596205673687
cpd:C02630_r,19.58978012244897,20.05903974301634,21.493913746408975,0.4692596205673687
cpd:C02630_c,19.58978012244897,20.05903974301634,21.493913746408975,0.4692596205673687
cpd:C02630_n,19.58978012244897,20.05903974301634,21.493913746408975,0.4692596205673687
cpd:C02630_m,19.58978012244897,20.05903974301634,21.493913746408975,0.4692596205673687
cpd:C02630_e,19.58978012244897,20.05903974301634,21.493913746408975,0.4692596205673687
cpd:C02630,19.58978012244897,20.05903974301634,21.493913746408975,0.4692596205673687
cpd:C00026_x,24.880220138858693,24.86118728307115,21.816950891276054,-0.01903285578754228
cpd:C00026_l,24.880220138858693,24.86118728307115,21.816950891276054,-0.01903285578754228
cpd:C00026_n,24.880220138858693,24.86118728307115,21.816950891276054,-0.01903285578754228
cpd:C00026_r,24.880220138858693,24.86118728307115,21.816950891276054,-0.01903285578754228
cpd:C00026,24.880220138858693,24.86118728307115,21.816950891276054,-0.01903285578754228
cpd:C00026_c,24.880220138858693,24.86118728307115,21.816950891276054,-0.01903285578754228
cpd:C00026_m,24.880220138858693,24.86118728307115,21.816950891276054,-0.01903285578754228
cpd:C00026_e,24.880220138858693,24.86118728307115,21.816950891276054,-0.01903285578754228
cpd:C00197_r,0.9804096262725764,10.463039943203956,7.818227842572185,9.482630316931377
cpd:C00197_x,0.9804096262725764,10.463039943203956,7.818227842572185,9.482630316931377
cpd:C00197_n,0.9804096262725764,10.463039943203956,7.818227842572185,9.482630316931377
cpd:C00197_l,0.9804096262725764,10.463039943203956,7.818227842572185,9.482630316931377
cpd:C00197_c,0.9804096262725764,10.463039943203956,7.818227842572185,9.482630316931377
cpd:C00197_e,0.9804096262725764,10.463039943203956,7.818227842572185,9.482630316931377
cpd:C00197_m,0.9804096262725764,10.463039943203956,7.818227842572185,9.482630316931377
